FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.698,698,POINT (16.36831237227201 48.248723964161925),Mooslackengasse,Mooslackengasse,"11A, 5B",891,
OEFFHALTESTOGD.699,699,POINT (16.486116831500322 48.209303435422136),In der Au,In der Au,93A,624,
OEFFHALTESTOGD.700,700,POINT (16.45453582171341 48.17709151625323),Wildpretstraﬂe,Wildpretstraﬂe,76A,1487,
OEFFHALTESTOGD.701,701,POINT (16.369346022497297 48.21353183741184),Tiefer Graben,Tiefer Graben,2A,1033,
OEFFHALTESTOGD.702,702,POINT (16.392833526080636 48.23327877267496),Engerthstraﬂe/Innstraﬂe,Engerthstraﬂe/Innstraﬂe,"11A, 11B",279,
OEFFHALTESTOGD.703,703,POINT (16.43928130113534 48.191067379348105),G‰rtnerstraﬂe,G‰rtnerstraﬂe,77A,453,
OEFFHALTESTOGD.704,704,POINT (16.42823817800751 48.21999162213261),Neue Donau Mitte,Neue Donau Mitte,"92A, 92B",917,
OEFFHALTESTOGD.705,705,POINT (16.362706088389093 48.13315560578416),Richard-Tauber-Gasse,Richard-Tauber-Gasse,70A,1775,
OEFFHALTESTOGD.706,706,POINT (16.318244148837145 48.24480992497939),Kammerergasse,Kammerergasse,35A,648,
OEFFHALTESTOGD.707,707,POINT (16.38655024830814 48.29146561664935),"Strebersdorf, Edmund-Hawranek-Platz","Strebersdorf, Edmund-Hawranek-Platz",32A,260,
OEFFHALTESTOGD.708,708,POINT (16.38253623320931 48.22262532075544),Taborstraﬂe/Heinestraﬂe,Taborstraﬂe/Heinestraﬂe,5B,494,
OEFFHALTESTOGD.709,709,POINT (16.41731334441309 48.23075021314817),Sch¸ttaustraﬂe,Sch¸ttaustraﬂe,"92A, 92B",1205,
OEFFHALTESTOGD.710,710,POINT (16.33013067836774 48.26387684329957),Cobenzlgasse,Cobenzlgasse,38A,210,
OEFFHALTESTOGD.711,711,POINT (16.3748394721562 48.14478598156401),Sulzengasse,Sulzengasse,19A,1342,
OEFFHALTESTOGD.712,712,POINT (16.328537827678087 48.183499548977004),Meidling Hauptstraﬂe,Meidling Hauptstraﬂe,"15A, 9A",863,
OEFFHALTESTOGD.713,713,POINT (16.302353837081043 48.22805243835873),Dornbacher Straﬂe,Dornbacher Straﬂe,44A,241,
OEFFHALTESTOGD.714,714,POINT (16.429925421373934 48.183662485864716),E-Werk,E-Werk,"72A, 76A",256,
OEFFHALTESTOGD.715,715,POINT (16.29791338080027 48.17248871587711),Stranzenberggasse,Stranzenberggasse,"56A, 56B, 58A",1332,
OEFFHALTESTOGD.716,716,POINT (16.267194343849845 48.16682098160982),Jenbachgasse,Jenbachgasse,55A,595,
OEFFHALTESTOGD.717,717,POINT (16.28950275785311 48.22240643708235),Predigtstuhl,Predigtstuhl,"46A, 46B",1043,
OEFFHALTESTOGD.718,718,POINT (16.29069995051602 48.22303606944541),Oberwiedenstraﬂe,Oberwiedenstraﬂe,46A,973,
OEFFHALTESTOGD.719,719,POINT (16.35675276695806 48.18832012533966),Bacherplatz,Bacherplatz,"12A, 59A",104,
OEFFHALTESTOGD.720,720,POINT (16.307468331794933 48.24574289729312),Pˆtzleinsdorfer Friedhof,Pˆtzleinsdorfer Friedhof,41A,1057,
OEFFHALTESTOGD.721,721,POINT (16.28343564378999 48.23918516610623),Geroldgasse,Geroldgasse,43A,392,
OEFFHALTESTOGD.722,722,POINT (16.30146405324237 48.21837308464745),Kollburggasse,Kollburggasse,"46A, 46B",698,
OEFFHALTESTOGD.723,723,POINT (16.43456399617873 48.20317223995801),Praterbr¸cke,Praterbr¸cke,"77A, 79A, 79B",1039,
OEFFHALTESTOGD.724,724,POINT (16.38745543562863 48.269434607651114),Anton-Bosch-Gasse,Anton-Bosch-Gasse,34A,68,
OEFFHALTESTOGD.725,725,POINT (16.359384838084324 48.180436708135915),Matzleinsdorfer Platz,Matzleinsdorfer Platz,14A,849,
OEFFHALTESTOGD.726,726,POINT (16.36568836358589 48.21502563232763),Bˆrse,Bˆrse,3A,195,
OEFFHALTESTOGD.727,727,POINT (16.360171945340007 48.144558009943204),Kolbegasse,Kolbegasse,"66A, 67A",697,
OEFFHALTESTOGD.728,728,POINT (16.384835921188486 48.23479813302029),Traisengasse,Traisengasse,"37A, 5A",1385,
OEFFHALTESTOGD.729,729,POINT (16.4256384822068 48.28544608073674),Kollarzgasse,Kollarzgasse,32A,546,
OEFFHALTESTOGD.730,730,POINT (16.450954222496637 48.22376145347356),Am Bahnhof,Am Bahnhof,"86A, 87A",427,
OEFFHALTESTOGD.731,731,POINT (16.461306186885036 48.23468569063744),Am Krautgarten,Am Krautgarten,95A,528,
OEFFHALTESTOGD.732,732,POINT (16.487952825514594 48.27778455465905),Badeteich S¸ﬂenbrunn,Badeteich S¸ﬂenbrunn,25A,105,
OEFFHALTESTOGD.733,733,POINT (16.3698522580163 48.27797013942841),Schwarzlackenau,Schwarzlackenau,34A,1506,
OEFFHALTESTOGD.734,734,POINT (16.445563990590625 48.21415891022),M¸hlwasserstraﬂe,M¸hlwasserstraﬂe,"92A, 93A",904,
OEFFHALTESTOGD.735,735,POINT (16.429224451649326 48.182583149682166),1. Haidequerstraﬂe Mitte,1. Haidequerstraﬂe Mitte,"72A, 76A",319,
OEFFHALTESTOGD.736,736,POINT (16.328656016025917 48.17706780557154),Tanbruckgasse,Tanbruckgasse,9A,1373,
OEFFHALTESTOGD.737,737,POINT (16.354523464995534 48.19292235585326),Pilgramgasse,Pilgramgasse,13A,1018,
OEFFHALTESTOGD.738,738,POINT (16.410669499617395 48.16575438895851),Swatoschgasse,Swatoschgasse,15A,1344,
OEFFHALTESTOGD.739,739,POINT (16.365547822528665 48.21393000572501),Helferstorferstraﬂe,Helferstorferstraﬂe,1A,498,
OEFFHALTESTOGD.740,740,POINT (16.338224811192756 48.18139856185712),Hans-Mandl-Berufsschule,Hans-Mandl-Berufsschule,"59A, 63A",470,
OEFFHALTESTOGD.741,741,POINT (16.42754077267688 48.13112288787431),Unterlaa Stadtgrenze,Unterlaa Stadtgrenze,17A,1410,
OEFFHALTESTOGD.742,742,POINT (16.370723816500266 48.24568516741274),Dr.-Adolf-Sch‰rf-Heim,Dr.-Adolf-Sch‰rf-Heim,11A,244,
OEFFHALTESTOGD.743,743,POINT (16.34882461403313 48.20979426241909),Lederergasse,Lederergasse,13A,1559,
OEFFHALTESTOGD.744,744,POINT (16.39153157691198 48.156950937074384),Florian-Geyer-Gasse,Florian-Geyer-Gasse,15A,331,
OEFFHALTESTOGD.745,745,POINT (16.4108195559422 48.28970790031448),Marchfeldkanal,Marchfeldkanal,30A,1622,
OEFFHALTESTOGD.746,746,POINT (16.373989452207045 48.16407246676743),Daumegasse,Daumegasse,15A,295,
OEFFHALTESTOGD.747,747,POINT (16.282236660980015 48.22987010246019),Grasgasse,Grasgasse,44A,418,
OEFFHALTESTOGD.748,748,POINT (16.337641622226865 48.17896178620333),Aﬂmayergasse,Aﬂmayergasse,59A,103,
OEFFHALTESTOGD.749,749,POINT (16.46549027069133 48.15994958318617),M¸hlsangergasse,M¸hlsangergasse,"71A, 73A",902,
OEFFHALTESTOGD.750,750,POINT (16.434661263433714 48.25812115306774),Satzingerweg,Satzingerweg,27A,1738,
OEFFHALTESTOGD.751,751,POINT (16.314006424561896 48.16257242973096),Edmund-Reim-Gasse,Edmund-Reim-Gasse,16A,1677,
OEFFHALTESTOGD.752,752,POINT (16.341688232510712 48.14353110713921),Traviatagasse,Traviatagasse,16A,1388,
OEFFHALTESTOGD.753,753,POINT (16.36574753967755 48.1972400237283),Schleifm¸hlgasse,Schleifm¸hlgasse,59A,1168,
OEFFHALTESTOGD.754,754,POINT (16.31237635586399 48.13863701727752),Eitnergasse,Eitnergasse,61A,1604,
OEFFHALTESTOGD.755,755,POINT (16.302716881631792 48.13685296564354),Eduard-Kittenberger-Gasse,Eduard-Kittenberger-Gasse,64A,261,
OEFFHALTESTOGD.756,756,POINT (16.461490271842045 48.160106372562325),Halterlacken,Halterlacken,"71A, 73A",469,
OEFFHALTESTOGD.757,757,POINT (16.335895331120643 48.15947588056716),Gutheil-Schoder-Gasse,Gutheil-Schoder-Gasse,"16A, 65A",444,
OEFFHALTESTOGD.758,758,POINT (16.34929271105368 48.20663482903121),Strozzigasse,Strozzigasse,13A,1340,
OEFFHALTESTOGD.759,759,POINT (16.376873472962224 48.188539772207406),Argentinierstraﬂe,Argentinierstraﬂe,13A,79,
OEFFHALTESTOGD.760,760,POINT (16.333931374195387 48.240764273628216),Rodlergasse,Rodlergasse,35A,1108,
OEFFHALTESTOGD.761,761,POINT (16.37757989671665 48.17309320395563),Reumannplatz,Reumannplatz,"65A, 7A",1095,
OEFFHALTESTOGD.762,762,POINT (16.27656467111185 48.18331979634471),Horeischygasse,Horeischygasse,54B,549,
OEFFHALTESTOGD.763,763,POINT (16.440001547602197 48.21217015859661),Donaustadtbr¸cke,Donaustadtbr¸cke,"92A, 92B, 93A",290,
OEFFHALTESTOGD.764,764,POINT (16.494848536872546 48.21237180292938),J‰germaiszufahrt,J‰germaiszufahrt,98A,1637,
OEFFHALTESTOGD.765,765,POINT (16.282600677964155 48.167994783180156),"Speising, Hermesstraﬂe","Speising, Hermesstraﬂe",56A,504,
OEFFHALTESTOGD.766,766,POINT (16.45315485562291 48.28288005588832),Lavantgasse,Lavantgasse,32A,757,
OEFFHALTESTOGD.767,767,POINT (16.519128866557494 48.21106641248521),Viktor-Wittner-Gasse,Viktor-Wittner-Gasse,98A,1709,
OEFFHALTESTOGD.768,768,POINT (16.420407540824254 48.274213385895976),Scottgasse,Scottgasse,30A,1215,
OEFFHALTESTOGD.769,769,POINT (16.29646706382137 48.164687643722246),Dorfmeistergasse,Dorfmeistergasse,56B,240,
OEFFHALTESTOGD.770,770,POINT (16.461292434278924 48.218007789257385),Ehrenpreisgasse,Ehrenpreisgasse,92A,394,
OEFFHALTESTOGD.771,771,POINT (16.255090190973217 48.21676297864822),G¸nselgasse,G¸nselgasse,52B,449,
OEFFHALTESTOGD.772,772,POINT (16.360993947946415 48.15542056883268),Frˆdenplatz,Frˆdenplatz,17A,365,
OEFFHALTESTOGD.773,773,POINT (16.317880367446495 48.12887377601518),Leo-Mathauser-Gasse,Leo-Mathauser-Gasse,61A,1608,
OEFFHALTESTOGD.774,774,POINT (16.340386254400777 48.20431718099364),Kaiserstraﬂe/Burggasse,Kaiserstraﬂe/Burggasse,48A,644,
OEFFHALTESTOGD.775,775,POINT (16.478933275424165 48.21267290629419),Wulzendorfstraﬂe,Wulzendorfstraﬂe,92A,1507,
OEFFHALTESTOGD.776,776,POINT (16.45592370291959 48.24349837098332),Pogrelzstraﬂe,Pogrelzstraﬂe,22A,1027,
OEFFHALTESTOGD.777,777,POINT (16.296507412630156 48.26686178926606),Hˆhenstraﬂe/Rohrerwiese,Hˆhenstraﬂe/Rohrerwiese,43A,1800,
OEFFHALTESTOGD.778,778,POINT (16.336998408134956 48.1406212242783),Lamezanstraﬂe,Lamezanstraﬂe,16A,741,
OEFFHALTESTOGD.779,779,POINT (16.33166662924331 48.20434035811489),Vogelweidplatz/Stadthalle,Vogelweidplatz/Stadthalle,48A,1428,
OEFFHALTESTOGD.780,780,POINT (16.365179777473355 48.13878585046263),Halban-Kurz-Straﬂe,Halban-Kurz-Straﬂe,"19A, 70A",1742,
OEFFHALTESTOGD.781,781,POINT (16.34049716132709 48.17851827071377),L‰ngenfeldgasse/Flursch¸tzstraﬂe,L‰ngenfeldgasse/Flursch¸tzstraﬂe,63A,368,
OEFFHALTESTOGD.782,782,POINT (16.29374677802797 48.133633474752564),Liesing Friedhof,Liesing Friedhof,64A,791,
OEFFHALTESTOGD.783,783,POINT (16.466724477303686 48.15452664271663),Svetelskystraﬂe,Svetelskystraﬂe,71A,1671,
OEFFHALTESTOGD.784,784,POINT (16.444599331144957 48.22703151050409),Donaustadtstraﬂe/Lange Allee,Donaustadtstraﬂe/Lange Allee,94A,429,
OEFFHALTESTOGD.785,785,POINT (16.27810414520959 48.136011850631384),Lˆwenthalgasse,Lˆwenthalgasse,60A,807,
OEFFHALTESTOGD.786,786,POINT (16.32271621803645 48.223808678961554),Richthausenstraﬂe,Richthausenstraﬂe,"10A, 42A",1099,
OEFFHALTESTOGD.787,787,POINT (16.332045715926302 48.189753261026866),Henriettenplatz,Henriettenplatz,12A,501,
OEFFHALTESTOGD.788,788,POINT (16.47449393897756 48.24867633813481),Korianderweg,Korianderweg,86A,1597,
OEFFHALTESTOGD.789,789,POINT (16.386399601830593 48.216352588340705),Nestroyplatz/Praterstraﬂe,Nestroyplatz/Praterstraﬂe,5A,1042,
OEFFHALTESTOGD.790,790,POINT (16.42128744145223 48.27601362868118),Justgasse,Justgasse,"30A, 36A",622,
OEFFHALTESTOGD.791,791,POINT (16.279545674967604 48.200238330009356),Tinterstraﬂe/Baumgartner Friedhof,Tinterstraﬂe/Baumgartner Friedhof,47A,1555,
OEFFHALTESTOGD.792,792,POINT (16.478956020814202 48.17454386286896),Kraftwerk Freudenau,Kraftwerk Freudenau,"79A, 79B",354,
OEFFHALTESTOGD.793,793,POINT (16.397351559141452 48.176784919464566),Gr‰ﬂlplatz,Gr‰ﬂlplatz,69A,435,
OEFFHALTESTOGD.794,794,POINT (16.293422578931104 48.252137445195274),Salmannsdorf,Salmannsdorf,35A,1142,
OEFFHALTESTOGD.795,795,POINT (16.29755797663839 48.22868089187744),Heuberggasse,Heuberggasse,44A,515,
OEFFHALTESTOGD.796,796,POINT (16.351534959858338 48.189039468705026),Reinprechtsdorfer Br¸cke,Reinprechtsdorfer Br¸cke,"12A, 14A",1085,
OEFFHALTESTOGD.797,797,POINT (16.440801411231146 48.26324642697229),Leopoldauer Platz,Leopoldauer Platz,"29A, 31A",771,
OEFFHALTESTOGD.798,798,POINT (16.29811245152468 48.161536517444276),S¸dwestfriedhof 7.Tor,S¸dwestfriedhof 7.Tor,63A,1355,
OEFFHALTESTOGD.799,799,POINT (16.47948031957197 48.251437073082464),Breitenleer Straﬂe/Arnikaweg,Breitenleer Straﬂe/Arnikaweg,"24A, 86A",83,
OEFFHALTESTOGD.800,800,POINT (16.260197010462417 48.13891250877581),Rodauner Straﬂe,Rodauner Straﬂe,60A,1107,
OEFFHALTESTOGD.801,801,POINT (16.503655838615103 48.209771397557994),M¸hlau,M¸hlau,98A,1640,
OEFFHALTESTOGD.802,802,POINT (16.319440263532925 48.175731854368024),Gatterhˆlzl,Gatterhˆlzl,"63A, 8A",378,
OEFFHALTESTOGD.803,803,POINT (16.42940064830179 48.171478295031356),Rohrhofergasse,Rohrhofergasse,69A,1111,
OEFFHALTESTOGD.804,804,POINT (16.30223708636643 48.20239446171279),Montleartstraﬂe,Montleartstraﬂe,51A,889,
OEFFHALTESTOGD.805,805,POINT (16.25717546666166 48.13400179816953),Willergasse/Schule,Willergasse/Schule,60A,1492,
OEFFHALTESTOGD.806,806,POINT (16.264333668773556 48.15191685702213),Valentingasse,Valentingasse,"56A, 56B, 60A",1417,
OEFFHALTESTOGD.807,807,POINT (16.383845349960996 48.24111608203958),Handelskai,Handelskai,"11A, 11B, 5A",1705,
OEFFHALTESTOGD.808,808,POINT (16.327752252509807 48.17221007596161),Wienerbergbr¸cke,Wienerbergbr¸cke,"15A, 7A",1477,
OEFFHALTESTOGD.809,809,POINT (16.395557867651785 48.271250631595),Lokomotivgasse,Lokomotivgasse,36A,812,
OEFFHALTESTOGD.810,810,POINT (16.30184950968383 48.16107039907697),S¸dwestfriedhof 2.Tor,S¸dwestfriedhof 2.Tor,63A,1353,
OEFFHALTESTOGD.811,811,POINT (16.514965690413085 48.20220019791709),"Eﬂling, Wegmayersiedlung","Eﬂling, Wegmayersiedlung",88B,1083,
OEFFHALTESTOGD.812,812,POINT (16.3350196858632 48.2466067885149),Daringergasse,Daringergasse,39A,224,
OEFFHALTESTOGD.813,813,POINT (16.45127143995921 48.221363554297746),Wiedgasse,Wiedgasse,"86A, 87A",1473,
OEFFHALTESTOGD.814,814,POINT (16.456436539971445 48.25498351449079),Hochmuthgasse,Hochmuthgasse,27A,1674,
OEFFHALTESTOGD.815,815,POINT (16.27231953435715 48.16601050853815),Pensionistenwohnhaus Fˆhrenhof,Pensionistenwohnhaus Fˆhrenhof,"56A, 56B",1782,
OEFFHALTESTOGD.816,816,POINT (16.415589836725275 48.276632356439784),Skraupstraﬂe,Skraupstraﬂe,"30A, 31A, 36A",1268,
OEFFHALTESTOGD.817,817,POINT (16.266422535253756 48.163669431846365),Glawatschweg,Glawatschweg,"56A, 56B",406,
OEFFHALTESTOGD.818,818,POINT (16.337474501959495 48.257198207308704),Himmelstraﬂe,Himmelstraﬂe,38A,526,
OEFFHALTESTOGD.819,819,POINT (16.37081196335054 48.21011369352566),Brandst‰tte,Brandst‰tte,"1A, 2A, 3A",157,
OEFFHALTESTOGD.820,820,POINT (16.27636830421062 48.19208234383371),Ober Sankt Veit,Ober Sankt Veit,"47A, 54A, 54B",956,
OEFFHALTESTOGD.821,821,POINT (16.458661461145276 48.21979283511018),Stadlauer Friedhof,Stadlauer Friedhof,92A,1337,
OEFFHALTESTOGD.822,822,POINT (16.41612406752186 48.30118039088458),Freiheitsplatz,Freiheitsplatz,30A,352,
OEFFHALTESTOGD.823,823,POINT (16.487388237674246 48.21708698535249),Zachgasse,Zachgasse,92A,1512,
OEFFHALTESTOGD.824,824,POINT (16.375437957610746 48.17076302390896),Inzersdorfer Straﬂe/Ettenreichgasse,Inzersdorfer Straﬂe/Ettenreichgasse,"65A, 7A",616,
OEFFHALTESTOGD.825,825,POINT (16.286383373403826 48.25825799138098),Dreimarkstein,Dreimarkstein,43A,488,
OEFFHALTESTOGD.826,826,POINT (16.25297947343167 48.220067019495865),Dostgasse,Dostgasse,52B,243,
OEFFHALTESTOGD.827,827,POINT (16.450646834270323 48.1591003753419),Luzegasse,Luzegasse,73A,270,
OEFFHALTESTOGD.828,828,POINT (16.484324365180626 48.28497067803663),S¸ﬂenbrunn,S¸ﬂenbrunn,25A,1357,
OEFFHALTESTOGD.829,829,POINT (16.351077043076202 48.19527408940393),Esterhazygasse,Esterhazygasse,"13A, 14A, 57A",293,
OEFFHALTESTOGD.830,830,POINT (16.326028081577466 48.24002766646226),Felix-Dahn-Straﬂe,Felix-Dahn-Straﬂe,40A,304,
OEFFHALTESTOGD.831,831,POINT (16.241193249448465 48.21924064608758),Moschingergasse,Moschingergasse,52A,894,
OEFFHALTESTOGD.832,832,POINT (16.480302028050694 48.16893598664559),Neu-Albern,Neu-Albern,76A,1692,
OEFFHALTESTOGD.833,833,POINT (16.318889112013867 48.1631769756933),Rothenburgstraﬂe,Rothenburgstraﬂe,16A,1678,
OEFFHALTESTOGD.834,834,POINT (16.455069093854725 48.26020537301118),Puchgasse,Puchgasse,25A,1050,
OEFFHALTESTOGD.835,835,POINT (16.28651696566598 48.19685635534299),Seckendorfstraﬂe,Seckendorfstraﬂe,47A,1014,
OEFFHALTESTOGD.836,836,POINT (16.461014468490564 48.19739540708193),Dampfkraftwerk Donaustadt,Dampfkraftwerk Donaustadt,92B,220,
OEFFHALTESTOGD.837,837,POINT (16.52372626833645 48.208029470842234),Wiethestraﬂe,Wiethestraﬂe,88B,1484,
OEFFHALTESTOGD.838,838,POINT (16.371210099113483 48.240736819582175),Adalbert-Stifter-Str./J‰gerstraﬂe,Adalbert-Stifter-Str./J‰gerstraﬂe,37A,1511,
OEFFHALTESTOGD.839,839,POINT (16.301548561014094 48.234985352568174),Schafberg/Werfelstraﬂe,Schafberg/Werfelstraﬂe,42A,1467,
OEFFHALTESTOGD.840,840,POINT (16.341096973975922 48.17213066588768),Kastanienallee,Kastanienallee,63A,1683,
OEFFHALTESTOGD.841,841,POINT (16.283538178326822 48.2246175260611),Kretschekgasse,Kretschekgasse,44A,139,
OEFFHALTESTOGD.842,842,POINT (16.418705659081485 48.188322530173224),Modecenterstraﬂe,Modecenterstraﬂe,72A,881,
OEFFHALTESTOGD.843,843,POINT (16.2886005948495 48.213254985930995),Pˆnningerweg,Pˆnningerweg,"46A, 46B",1055,
OEFFHALTESTOGD.844,844,POINT (16.283323442995894 48.134851254944586),Liesing,Liesing,"60A, 61A",788,
OEFFHALTESTOGD.845,845,POINT (16.40234519375636 48.2205371592546),Erlafstraﬂe,Erlafstraﬂe,82A,1901,
OEFFHALTESTOGD.846,846,POINT (16.45296446793955 48.22962884384582),Erzherzog-Karl-Straﬂe,Erzherzog-Karl-Straﬂe,26A,288,
OEFFHALTESTOGD.847,847,POINT (16.26034173939121 48.16030263693583),N‰stlbergergasse,N‰stlbergergasse,"56A, 56B",952,
OEFFHALTESTOGD.848,848,POINT (16.330660289437134 48.23706666438604),Borkowskigasse,Borkowskigasse,40A,153,
OEFFHALTESTOGD.849,849,POINT (16.33859634682415 48.14264176289662),Adamovichgasse,Adamovichgasse,16A,5,
OEFFHALTESTOGD.850,850,POINT (16.32697324498579 48.18042069139915),Ruckergasse/Tivoligasse,Ruckergasse/Tivoligasse,"15A, 9A",1126,
OEFFHALTESTOGD.851,851,POINT (16.448610581977647 48.26839306523917),Wassermanngasse,Wassermanngasse,29A,1451,
OEFFHALTESTOGD.852,852,POINT (16.47012114710404 48.20854061586194),Sch¸tth‰ufel,Sch¸tth‰ufel,95A,1207,
OEFFHALTESTOGD.853,853,POINT (16.42337862401375 48.27773796472276),Marco-Polo-Promenade,Marco-Polo-Promenade,36A,999,
OEFFHALTESTOGD.854,854,POINT (16.37844855066374 48.199155793116866),Lisztstraﬂe,Lisztstraﬂe,4A,804,
OEFFHALTESTOGD.855,855,POINT (16.25772617298024 48.137472461372184),Breitenfurter Straﬂe/Willergasse,Breitenfurter Straﬂe/Willergasse,60A,198,
OEFFHALTESTOGD.856,856,POINT (16.278854782354674 48.20365628186282),Flˆtzersteig,Flˆtzersteig,47A,338,
OEFFHALTESTOGD.857,857,POINT (16.507218912685587 48.20820886384862),Leidlweg,Leidlweg,98A,1641,
OEFFHALTESTOGD.858,858,POINT (16.29345876839441 48.145411694341185),Knotzenbachgasse,Knotzenbachgasse,66A,694,
OEFFHALTESTOGD.859,859,POINT (16.391568778147235 48.19917900306263),Ziehrerplatz,Ziehrerplatz,4A,1548,
OEFFHALTESTOGD.860,860,POINT (16.34466470840512 48.168825771485224),Carl-Appel-Straﬂe,Carl-Appel-Straﬂe,7B,1816,
OEFFHALTESTOGD.861,861,POINT (16.329678827202788 48.19330603243963),Grenzgasse,Grenzgasse,12A,437,
OEFFHALTESTOGD.862,862,POINT (16.369108105434627 48.28204427776127),Lohnergasse,Lohnergasse,34A,810,
OEFFHALTESTOGD.863,863,POINT (16.288977502313703 48.14820383904506),Atzgersdorf,Atzgersdorf,"56A, 56B",94,
OEFFHALTESTOGD.864,864,POINT (16.38348711482015 48.27018991347574),Jedleseer Friedhof,Jedleseer Friedhof,34A,797,
OEFFHALTESTOGD.865,865,POINT (16.428307774125237 48.161761498551336),Weiﬂenbˆckstraﬂe,Weiﬂenbˆckstraﬂe,69A,1463,
OEFFHALTESTOGD.866,866,POINT (16.38703676949497 48.26255574474119),"Jedlesee, Bellgasse","Jedlesee, Bellgasse","34A, 36A",119,
OEFFHALTESTOGD.867,867,POINT (16.301125950559534 48.236013132159755),Schafbergbad,Schafbergbad,42A,1155,
OEFFHALTESTOGD.868,868,POINT (16.328436153193298 48.24902784461839),Bellevuestraﬂe,Bellevuestraﬂe,39A,118,
OEFFHALTESTOGD.869,869,POINT (16.428523839268564 48.20775081539664),Chrastekgasse,Chrastekgasse,"79A, 79B",919,
OEFFHALTESTOGD.870,870,POINT (16.428736897163688 48.26251693407022),Serpentingasse,Serpentingasse,29A,1516,
OEFFHALTESTOGD.871,871,POINT (16.363917342410918 48.21575301079445),Liechtensteinstraﬂe/Schottentor,Liechtensteinstraﬂe/Schottentor,40A,1654,
OEFFHALTESTOGD.872,872,POINT (16.489995902221345 48.25387375473944),Am Rain,Am Rain,85A,1528,
OEFFHALTESTOGD.873,873,POINT (16.347164799389 48.16784111561968),Business-Park Vienna,Business-Park Vienna,"65A, 7B",1571,
OEFFHALTESTOGD.874,874,POINT (16.42585874993346 48.265052603028714),Heinrich-von-Buol-Gasse,Heinrich-von-Buol-Gasse,28A,328,
OEFFHALTESTOGD.875,875,POINT (16.24750390491067 48.207564040340884),Siriusweg,Siriusweg,"49A, 50B",1266,
OEFFHALTESTOGD.876,876,POINT (16.426940587589108 48.16050014466919),Wilhelm-Kreﬂ-Platz,Wilhelm-Kreﬂ-Platz,69A,1488,
OEFFHALTESTOGD.877,877,POINT (16.44451419729582 48.16238012416263),Hˆrtengasse,Hˆrtengasse,73A,571,
OEFFHALTESTOGD.878,878,POINT (16.467642082852418 48.20591042063318),Ulanenweg,Ulanenweg,95A,1399,
OEFFHALTESTOGD.879,879,POINT (16.423345147144953 48.13142416641489),Klederinger Straﬂe,Klederinger Straﬂe,17A,685,
OEFFHALTESTOGD.880,880,POINT (16.287144935496933 48.1914932876971),Unter Sankt Veit,Unter Sankt Veit,47A,1404,
OEFFHALTESTOGD.881,881,POINT (16.348430957682073 48.20426654196231),Neubaugasse/Burggasse,Neubaugasse/Burggasse,48A,920,
OEFFHALTESTOGD.882,882,POINT (16.441387674900646 48.21340571072375),Kaiserm¸hlenstraﬂe,Kaiserm¸hlenstraﬂe,"92A, 93A",642,
OEFFHALTESTOGD.883,883,POINT (16.40923363352059 48.19553107865216),Ludwig-Koeﬂler-Platz,Ludwig-Koeﬂler-Platz,"77A, 80A",821,
OEFFHALTESTOGD.884,884,POINT (16.43962712645346 48.229786397466896),Benatzkygasse,Benatzkygasse,93A,121,
OEFFHALTESTOGD.885,885,POINT (16.458702344359295 48.25896465069243),Tillmanngasse,Tillmanngasse,25A,785,
OEFFHALTESTOGD.886,886,POINT (16.357207130668343 48.18319849095475),Jahngasse,Jahngasse,12A,590,
OEFFHALTESTOGD.887,887,POINT (16.260555514340947 48.20613035278494),Henckellgasse,Henckellgasse,47B,1615,
OEFFHALTESTOGD.888,888,POINT (16.411954031129564 48.19733778354315),Sch¸ttelstraﬂe,Sch¸ttelstraﬂe,"77A, 80A",1206,
OEFFHALTESTOGD.889,889,POINT (16.414107313042788 48.199110011698856),Klaschkaweg,Klaschkaweg,"77A, 80A",1568,
OEFFHALTESTOGD.890,890,POINT (16.364130049961705 48.15462709236523),Wienerfeld,Wienerfeld,"17A, 67A",1479,
OEFFHALTESTOGD.891,891,POINT (16.35021227621194 48.181436947740515),Eichenstraﬂe,Eichenstraﬂe,12A,267,
OEFFHALTESTOGD.892,892,POINT (16.272827270299555 48.16674550905147),Dr.-Schober-Straﬂe,Dr.-Schober-Straﬂe,"55A, 56A, 56B",248,
OEFFHALTESTOGD.893,893,POINT (16.365328790813553 48.23634907757126),Wexstraﬂe,Wexstraﬂe,5B,1470,
OEFFHALTESTOGD.894,894,POINT (16.22443116208131 48.214153157862874),Anzengruberstraﬂe,Anzengruberstraﬂe,50B,74,
OEFFHALTESTOGD.895,895,POINT (16.487128193768473 48.240721618482745),Berresgasse,Berresgasse,95A,596,
OEFFHALTESTOGD.896,896,POINT (16.38439040974532 48.206121070255165),Landstraﬂe-Wien Mitte,Landstraﬂe-Wien Mitte,74A,743,
OEFFHALTESTOGD.897,897,POINT (16.362334889323932 48.18997206830354),Leibenfrostgasse,Leibenfrostgasse,13A,768,
OEFFHALTESTOGD.898,898,POINT (16.280102862681396 48.15479671421563),Eberstorferweg,Eberstorferweg,58A,257,
OEFFHALTESTOGD.899,899,POINT (16.401184054293612 48.22618710081053),Walcherstraﬂe,Walcherstraﬂe,"11A, 11B",1440,
