FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.1911,1911,POINT (16.36648747874728 48.245585765319184),Muthgasse,Muthgasse,"11A, 5B",897,
OEFFHALTESTOGD.1912,1912,POINT (16.328287574355812 48.172101415752294),Wienerbergbr¸cke,Wienerbergbr¸cke,"15A, 7A",1477,
OEFFHALTESTOGD.1913,1913,POINT (16.337815420940082 48.17099421153974),Eibesbrunnergasse,Eibesbrunnergasse,"15A, 7A",264,
OEFFHALTESTOGD.1914,1914,POINT (16.344753824688308 48.1699678232621),Gesundheitszentrum S¸d,Gesundheitszentrum S¸d,"15A, 63A, 7A",53,
OEFFHALTESTOGD.1915,1915,POINT (16.297423250275216 48.17505400729519),Montecuccoliplatz,Montecuccoliplatz,8A,888,
OEFFHALTESTOGD.1916,1916,POINT (16.305396909576945 48.17105621145233),Am Fasangarten,Am Fasangarten,8A,37,
OEFFHALTESTOGD.1917,1917,POINT (16.312923368310166 48.17445532157292),Gaﬂmannstraﬂe,Gaﬂmannstraﬂe,"63A, 8A",381,
OEFFHALTESTOGD.1918,1918,POINT (16.312923368310166 48.17445532157292),Gaﬂmannstraﬂe,Gaﬂmannstraﬂe,"63A, 8A",381,
OEFFHALTESTOGD.1919,1919,POINT (16.326239703969758 48.174073995713464),Hohenbergstraﬂe,Hohenbergstraﬂe,"15A, 8A",542,
OEFFHALTESTOGD.1920,1920,POINT (16.331386122009047 48.17440544609379),Meidling,Meidling,"62A, 7A, 8A",1015,
OEFFHALTESTOGD.1921,1921,POINT (16.33434313450771 48.17551126813097),Dˆrfelstraﬂe,Dˆrfelstraﬂe,9A,865,
OEFFHALTESTOGD.1922,1922,POINT (16.364501845405385 48.248969105308184),Heiligenstadt,Heiligenstadt,10A,491,
OEFFHALTESTOGD.1923,1923,POINT (16.356649265830004 48.24458476084709),Barawitzkagasse,Barawitzkagasse,"10A, 39A",109,
OEFFHALTESTOGD.1924,1924,POINT (16.34934434310772 48.23895791238903),Gatterburggasse,Gatterburggasse,"10A, 35A",376,
OEFFHALTESTOGD.1925,1925,POINT (16.334107481597822 48.23708993881183),D‰nenstraﬂe,D‰nenstraﬂe,"10A, 40A",251,
OEFFHALTESTOGD.1926,1926,POINT (16.32722454495101 48.22763151497057),Czartoryskigasse,Czartoryskigasse,"10A, 42A",217,
OEFFHALTESTOGD.1927,1927,POINT (16.321072132623094 48.22087423760238),Hernalser Hauptstraﬂe/Wattgasse,Hernalser Hauptstraﬂe/Wattgasse,10A,508,
OEFFHALTESTOGD.1928,1928,POINT (16.318745246545436 48.21100763818487),Schuhmeierplatz,Schuhmeierplatz,10A,1190,
OEFFHALTESTOGD.1929,1929,POINT (16.318923393307287 48.19872538248194),Johnstraﬂe,Johnstraﬂe,10A,606,
OEFFHALTESTOGD.1930,1930,POINT (16.316631466540898 48.19285377104226),Linzer Straﬂe/Johnstraﬂe,Linzer Straﬂe/Johnstraﬂe,10A,1158,
OEFFHALTESTOGD.1931,1931,POINT (16.313948680157726 48.18706888530288),Schloss Schˆnbrunn,Schloss Schˆnbrunn,10A,1176,
OEFFHALTESTOGD.1932,1932,POINT (16.319812495124346 48.18622184298538),Schˆnbrunn,Schˆnbrunn,10A,1211,
OEFFHALTESTOGD.1933,1933,POINT (16.32813948424277 48.183169727521246),Meidling Hauptstraﬂe,Meidling Hauptstraﬂe,"10A, 63A",863,
OEFFHALTESTOGD.1934,1934,POINT (16.329398514026572 48.183705613207394),Meidling Hauptstraﬂe,Meidling Hauptstraﬂe,"10A, 63A",863,
OEFFHALTESTOGD.1935,1935,POINT (16.455229073537584 48.150863550554114),Leberweg,Leberweg,71A,1699,
OEFFHALTESTOGD.1936,1936,POINT (16.452086505288687 48.15186357881249),Zentralfriedhof 4.Tor,Zentralfriedhof 4.Tor,71A,1523,
OEFFHALTESTOGD.1937,1937,POINT (16.470021270257874 48.160098731240346),"Kaiserebersdorf, Zinnergasse","Kaiserebersdorf, Zinnergasse","71A, 73A",639,
OEFFHALTESTOGD.1938,1938,POINT (16.426170767644187 48.16785823596387),Geringergasse,Geringergasse,73A,390,
OEFFHALTESTOGD.1939,1939,POINT (16.43171325993008 48.16544671559978),Florian-Hedorfer-Straﬂe,Florian-Hedorfer-Straﬂe,73A,332,
OEFFHALTESTOGD.1940,1940,POINT (16.43074217332423 48.165720324323225),Florian-Hedorfer-Straﬂe,Florian-Hedorfer-Straﬂe,73A,332,
OEFFHALTESTOGD.1941,1941,POINT (16.449946366299844 48.16082730422114),Luzegasse,Luzegasse,73A,915,
OEFFHALTESTOGD.1942,1942,POINT (16.457095664022884 48.16026046667587),Pantucekgasse,Pantucekgasse,73A,991,
OEFFHALTESTOGD.1943,1943,POINT (16.45354703550505 48.15869079399291),Kaiserebersdorfer Friedhof,Kaiserebersdorfer Friedhof,73A,638,
OEFFHALTESTOGD.1944,1944,POINT (16.427362349232 48.17971568238058),Haidestraﬂe,Haidestraﬂe,72A,465,
OEFFHALTESTOGD.1945,1945,POINT (16.426938355781008 48.1790659693165),Haidestraﬂe,Haidestraﬂe,72A,465,
OEFFHALTESTOGD.1946,1946,POINT (16.26578770900351 48.2005303617915),Linzer Straﬂe/Flˆtzersteig,Linzer Straﬂe/Flˆtzersteig,47B,1789,
OEFFHALTESTOGD.1947,1947,POINT (16.296497832195953 48.146272930537634),Brunner Straﬂe/Erlaaer Straﬂe,Brunner Straﬂe/Erlaaer Straﬂe,66A,174,
OEFFHALTESTOGD.1948,1948,POINT (16.346744611426843 48.23319100052805),W‰hringer Park,W‰hringer Park,40A,1509,
OEFFHALTESTOGD.1949,1949,POINT (16.34493990373101 48.2301718917683),Gymnasiumstraﬂe,Gymnasiumstraﬂe,40A,448,
OEFFHALTESTOGD.1950,1950,POINT (16.349333214753624 48.22591780640094),W‰hringer Straﬂe-Volksoper,W‰hringer Straﬂe-Volksoper,40A,1510,
OEFFHALTESTOGD.1951,1951,POINT (16.354921717635367 48.22469859342642),Nuﬂdorfer Straﬂe/Alserbachstraﬂe,Nuﬂdorfer Straﬂe/Alserbachstraﬂe,40A,29,
OEFFHALTESTOGD.1952,1952,POINT (16.361857679371283 48.217886051214506),Berggasse,Berggasse,40A,122,
OEFFHALTESTOGD.1953,1953,POINT (16.364355463440322 48.215330245673954),Schottentor,Schottentor,40A,1184,
OEFFHALTESTOGD.1954,1954,POINT (16.264932302520776 48.16684286173681),Jenbachgasse,Jenbachgasse,55A,595,
OEFFHALTESTOGD.1955,1955,POINT (16.271283999041515 48.16676485046601),Dr.-Schober-Straﬂe,Dr.-Schober-Straﬂe,55A,248,
OEFFHALTESTOGD.1956,1956,POINT (16.28255384159707 48.16832504804369),"Speising, Hermesstraﬂe","Speising, Hermesstraﬂe",55A,504,
OEFFHALTESTOGD.1957,1957,POINT (16.294350178809548 48.16667957870326),Siedlung Rosenh¸gel,Siedlung Rosenh¸gel,58A,1284,
OEFFHALTESTOGD.1958,1958,POINT (16.334487364116594 48.24664031604755),Daringergasse,Daringergasse,39A,224,
OEFFHALTESTOGD.1959,1959,POINT (16.32062346180333 48.251931113641945),Frˆschelgasse,Frˆschelgasse,39A,367,
OEFFHALTESTOGD.1960,1960,POINT (16.278945352027016 48.20195807608424),Baumgartner Friedhof,Baumgartner Friedhof,47A,114,
OEFFHALTESTOGD.1961,1961,POINT (16.281591660937785 48.19743523823116),Waidhausenstraﬂe,Waidhausenstraﬂe,47A,1438,
OEFFHALTESTOGD.1962,1962,POINT (16.359573237513562 48.20673422281991),Dr.-Karl-Renner-Ring,Dr.-Karl-Renner-Ring,48A,246,
OEFFHALTESTOGD.1963,1963,POINT (16.356673063762624 48.20553429344815),Volkstheater,Volkstheater,48A,1430,
